Arrays,Heaps,Graphs,DynamicProgramming,Probability_of_Placement
6,9,16,7,0
19,22,20,9,1
28,25,13,16,1
14,2,8,27,0
10,17,13,25,1
7,24,0,8,0
28,23,18,21,1
20,12,12,18,1
6,27,12,28,1
25,25,3,13,1
18,6,29,7,1
22,24,0,8,0
10,3,16,21,0
10,12,7,10,0
23,19,1,22,1
20,0,27,0,0
3,7,7,13,0
7,13,6,4,0
23,15,25,20,1
2,13,25,25,1
21,11,1,13,0
20,18,21,3,1
1,22,21,21,1
23,14,2,22,1
11,27,26,24,1
29,1,17,0,0
5,1,11,21,0
1,22,0,22,0
27,21,21,18,1
20,18,11,7,0
0,24,4,14,0
11,25,29,20,1
25,29,29,14,1
21,28,26,8,1
28,21,24,20,1
11,25,16,8,1
24,25,15,9,1
16,21,14,19,1
26,16,22,24,1
26,19,14,20,1
9,9,4,25,0
27,5,20,8,1
27,14,13,2,0
15,21,1,19,0
14,10,10,24,0
29,27,18,25,1
29,4,6,10,0
14,0,5,5,0
29,7,27,1,1
18,20,1,6,0
11,27,5,17,1
22,11,17,26,1
19,11,1,1,0
24,4,17,26,1
2,6,29,16,0
4,3,14,10,0
18,5,26,26,1
6,12,18,11,0
20,19,1,26,1
8,29,19,18,1
6,14,24,21,1
17,2,5,23,0
3,22,0,24,0
24,7,23,6,1
27,19,14,19,1
13,15,27,5,1
17,12,29,20,1
25,17,22,23,1
8,27,9,0,0
25,9,18,16,1
20,29,16,28,1
1,18,4,10,0
19,16,28,21,1
27,23,3,25,1
14,18,9,27,1
27,27,23,17,1
6,25,16,20,1
11,22,9,16,0
28,25,16,6,1
7,4,27,16,0
14,25,19,19,1
2,20,23,8,0
13,29,4,16,1
16,22,1,19,0
3,8,5,21,0
17,11,20,21,1
7,20,1,27,0
3,0,12,28,0
1,25,29,7,1
29,25,10,16,1
5,0,10,6,0
21,14,15,0,0
9,1,10,12,0
3,29,18,29,1
21,21,14,22,1
28,15,24,18,1
17,24,22,26,1
25,7,22,23,1
11,12,15,18,0
1,20,10,29,1
9,0,21,29,0
29,15,15,28,1
3,28,7,16,0
13,6,3,12,0
15,4,7,28,0
14,21,3,29,1
7,28,23,15,1
13,22,24,7,1
22,2,2,18,0
27,11,2,17,0
24,25,26,0,1
29,15,28,13,1
7,18,17,18,1
20,4,28,14,1
15,21,25,17,1
12,24,18,1,0
17,28,18,21,1
14,13,20,27,1
20,27,4,16,1
23,4,17,17,1
25,14,27,29,1
24,16,9,5,0
27,29,28,18,1
27,13,21,3,1
27,29,20,0,1
12,19,5,7,0
8,4,0,28,0
28,11,4,22,1
14,15,8,6,0
12,25,11,2,0
0,25,25,9,0
24,15,13,9,1
6,20,1,18,0
8,6,16,13,0
23,3,13,1,0
0,0,25,27,0
11,29,12,0,0
7,29,26,22,1
23,4,8,22,0
10,22,25,27,1
18,25,24,17,1
16,9,14,6,0
7,21,24,28,1
2,4,21,7,0
2,3,14,0,0
0,1,23,24,0
26,19,29,22,1
4,9,10,2,0
9,25,15,23,1
6,18,28,22,1
25,25,16,26,1
8,0,25,28,1
27,23,3,7,1
6,4,0,21,0
8,12,7,24,0
7,3,16,14,0
11,15,2,4,0
1,23,28,2,0
0,15,19,18,0
15,22,14,0,0
22,1,14,27,1
22,16,23,14,1
29,27,21,7,1
23,26,13,1,1
4,19,25,2,0
2,23,27,23,1
11,11,22,13,0
7,17,13,23,1
21,2,23,13,0
26,27,1,10,1
2,0,12,15,0
0,0,25,3,0
2,28,13,19,1
4,18,26,4,0
14,10,23,21,1
13,4,18,20,0
2,11,6,13,0
0,2,2,22,0
4,0,14,15,0
25,0,22,17,1
22,7,13,6,0
13,9,10,9,0
6,10,14,6,0
26,11,27,0,1
8,28,12,22,1
14,12,17,20,1
14,11,25,18,1
25,13,5,15,0
9,1,2,28,0
27,28,18,18,1
12,18,14,3,0
18,17,24,28,1
6,2,22,27,0
16,22,4,17,0
19,16,27,1,1
28,25,9,0,1
3,7,6,14,0
29,28,24,4,1
4,25,16,19,1
22,9,6,10,0
6,25,21,9,1
12,29,25,1,1
14,1,29,2,0
10,18,11,22,1
28,8,24,22,1
3,6,16,11,0
12,3,12,19,0
6,25,19,4,0
26,20,24,4,1
18,17,3,5,0
21,12,9,29,1
27,10,2,8,0
1,28,8,1,0
9,23,12,20,1
12,3,17,11,0
29,24,14,2,1
24,20,3,19,1
20,28,14,25,1
5,24,21,21,1
27,3,1,11,0
27,9,14,23,1
11,4,7,16,0
11,8,7,9,0
19,23,16,29,1
29,2,11,23,1
29,16,18,26,1
10,2,9,13,0
25,15,8,22,1
22,3,4,16,0
27,17,5,17,1
24,16,19,18,1
6,6,25,16,0
29,23,1,13,1
0,22,26,8,0
0,29,23,7,0
24,4,26,1,0
26,11,12,12,1
29,16,5,24,1
24,22,4,6,0
19,12,24,8,1
12,22,0,21,0
8,24,20,21,1
2,2,21,10,0
6,8,20,13,0
5,29,5,3,0
7,16,5,25,0
26,16,22,25,1
8,29,15,28,1
29,19,3,12,1
4,15,29,1,0
0,24,10,22,0
18,21,29,4,1
9,12,29,10,1
11,26,29,5,1
23,18,23,17,1
14,16,22,20,1
26,3,8,9,0
21,11,22,3,0
23,28,2,8,1
8,8,18,5,0
19,18,7,1,0
16,11,4,16,0
29,8,3,4,0
16,6,23,24,1
25,27,5,5,1
19,13,1,25,0
11,19,19,11,1
29,18,27,22,1
6,25,10,20,1
1,14,3,9,0
2,15,14,21,0
16,20,5,20,1
4,4,21,26,0
16,2,16,24,0
23,11,29,5,1
16,24,23,26,1
26,19,5,7,0
16,26,18,1,1
1,20,29,11,1
1,3,24,12,0
27,20,1,24,1
21,22,14,20,1
22,15,10,6,0
4,24,7,9,0
